# wavelength(um)  R_ey
5.734939759036145057e-01 9.555347247256690268e-02
5.773584905660377187e-01 1.125361875032747372e-01
5.812754409769335107e-01 1.049353677969181303e-01
5.852459016393442015e-01 9.032036635549639536e-02
5.892709766162310681e-01 7.288208597880077577e-02
5.933518005540164841e-01 7.585451332155339343e-02
5.974895397489539128e-01 6.594214449783415699e-02
6.016853932584268483e-01 7.909972559541157688e-02
6.059405940594059237e-01 1.006626456757580140e-01
6.102564102564101978e-01 1.402025045122106961e-01
6.146341463414632944e-01 1.326926733855468277e-01
6.190751445086705163e-01 2.235572630987134324e-01
6.235807860262008173e-01 2.181246628578521474e-01
6.281524926686216093e-01 2.763222821106057769e-01
6.327917282127030196e-01 2.614747995242461265e-01
6.374999999999999556e-01 2.470439837074701883e-01
6.422788605697150599e-01 2.087879170667210904e-01
6.471299093655588086e-01 1.802579775201999801e-01
6.520547945205479312e-01 1.499711726468898887e-01
6.570552147239263618e-01 1.197371997020869189e-01
6.621329211746521670e-01 1.359021157544182401e-01
6.672897196261682318e-01 1.521238214203252115e-01
6.725274725274724696e-01 1.730879648790428771e-01
6.778481012658227334e-01 2.060023704073888351e-01
6.832535885167463352e-01 2.455034920715649938e-01
6.887459807073954554e-01 2.478963292348902725e-01
6.943273905996757422e-01 2.022613452903355424e-01
6.999999999999998446e-01 3.960196453276451645e-01
7.057660626029652606e-01 3.213443653760694740e-01
7.116279069767441623e-01 2.865564146258649525e-01
7.175879396984923275e-01 1.248993375104145709e-01
7.236486486486485292e-01 1.124590478512980524e-01
7.298126064735945828e-01 1.056658164989710824e-01
7.360824742268040621e-01 3.572430167794406197e-02
7.424610051993066895e-01 1.929964153259748280e-02
7.489510489510489144e-01 6.082860932178079348e-03
7.555555555555554248e-01 1.132899937275042707e-01
7.622775800711742988e-01 8.565337747669185542e-02
7.691202872531416324e-01 1.300718394901569375e-01
7.760869565217390909e-01 1.076133741739188909e-01
7.831809872029249497e-01 1.322507596653228201e-01
7.904059040590404317e-01 9.389935075703757794e-02
7.977653631284914448e-01 7.362368376609859655e-02
8.052631578947367919e-01 4.741642251090918796e-03
8.129032258064515792e-01 4.504731956923721525e-02
8.206896551724137678e-01 2.435572514728187934e-02
8.286266924564795744e-01 4.287175364340643779e-02
8.367187499999998446e-01 1.263752217349655045e-02
8.449704142011832397e-01 1.650513765715911491e-02
8.533864541832667516e-01 1.274799870027823988e-02
8.619718309859154548e-01 8.817091846890723339e-03
