# wavelength(um)  R_ey
8.206896551724137678e-01 2.459938361537633567e-01
8.286266924564795744e-01 2.436695463109269100e-01
8.367187499999998446e-01 2.451261819031147482e-01
8.449704142011832397e-01 4.138543689359654998e-01
8.533864541832667516e-01 1.610561568192175441e+00
8.619718309859154548e-01 1.064280243429642780e+00
8.707317073170730559e-01 7.543134019919746081e-01
8.796714579055440186e-01 6.789814750104210539e-01
8.887966804979251512e-01 5.705356747795148342e-01
8.981132075471697229e-01 4.898085929327470334e-01
9.076271186440677541e-01 4.349886991956923299e-01
9.173447537473232716e-01 3.891828858207999065e-01
9.272727272727271375e-01 3.503676365468693099e-01
9.374179431072208191e-01 3.194539174158963490e-01
9.477876106194688122e-01 2.947709251011503273e-01
9.583892617449664142e-01 2.747744812635066203e-01
9.692307692307691180e-01 2.596410560558851666e-01
9.803203661327229979e-01 2.500200019795406625e-01
9.916666666666664742e-01 2.454623831801124589e-01
1.003278688524590123e+00 2.441940776978848704e-01
1.015165876777251119e+00 2.439319098749575254e-01
1.027338129496402797e+00 2.430034966813769404e-01
1.039805825242718251e+00 2.411480873045337425e-01
1.052579852579852426e+00 2.395504571143278749e-01
1.065671641791044566e+00 2.401169731630654891e-01
1.079093198992443048e+00 2.444134550783230442e-01
1.092857142857142527e+00 2.527131551945199228e-01
1.106976744186046302e+00 2.635222860892885155e-01
1.121465968586387252e+00 2.738402655994051083e-01
1.136339522546418790e+00 2.801910439784081053e-01
1.151612903225806228e+00 2.801090630899651379e-01
1.167302452316075989e+00 2.734741695621665802e-01
1.183425414364640771e+00 2.630008603201932083e-01
1.199999999999999734e+00 2.532971281475790981e-01
